replication,router,total,accuracy,total_cost,avg_cost,avg_latency_ms,escalation_rate,strong_usage_rate
V3,always_cheap,150,0.7533,0.0366,0.000244,691.82,0.0,0.0
V3,always_strong,150,0.7933,0.099299,0.00066199,1567.9,0.0,1.0
V3,learned_cost_aware,150,0.7867,0.056379,0.00037586,1030.5,0.0,0.36
V3,reflection,150,0.74,0.094959,0.00063306,1731.97,0.66,0.66
V3,task_aware,150,0.7867,0.076599,0.00051066,1305.09,0.0,0.6533
V4,always_cheap,150,0.7867,0.035642,0.00023762,1177.61,0.0,0.0
V4,always_strong,150,0.8333,0.096672,0.00064448,2619.4,0.0,1.0
V4,learned_cost_aware,150,0.8,0.065539,0.00043693,2391.25,0.0,0.5
V4,reflection,150,0.8,0.071305,0.00047537,2202.13,0.46,0.46
V4,task_aware,150,0.8267,0.075208,0.00050139,1766.81,0.0,0.66
