confidence_threshold,total,accuracy,avg_cost,avg_latency_ms,strong_usage_rate
0.05,450,0.784444,0.00024363,991.84,0.004444
0.1,450,0.784444,0.00024363,991.84,0.004444
0.15,450,0.784444,0.00024363,991.84,0.004444
0.2,450,0.784444,0.00024363,991.84,0.004444
0.25,450,0.784444,0.00024363,991.84,0.004444
0.3,450,0.784444,0.00024363,991.84,0.004444
0.35,450,0.784444,0.00024363,991.84,0.004444
0.4,450,0.784444,0.00024363,991.84,0.004444
0.45,450,0.784444,0.00024363,991.84,0.004444
0.5,450,0.784444,0.00024363,991.84,0.004444
0.55,450,0.784444,0.00024363,991.84,0.004444
0.6,450,0.784444,0.00024363,991.84,0.004444
0.65,450,0.784444,0.00024363,991.84,0.004444
0.7,450,0.784444,0.00024363,991.84,0.004444
0.75,450,0.795556,0.00047626,1679.62,0.442222
0.8,450,0.793333,0.00057064,1922.09,0.604444
0.85,450,0.795556,0.00061272,2011.45,0.666667
0.9,450,0.791111,0.00098002,2680.49,1.0
0.95,450,0.791111,0.00098002,2680.49,1.0
1.0,450,0.791111,0.00098002,2680.49,1.0
