group_by,group,pair_outcome,count,share
overall,all,cheap_correct_strong_correct,2195,0.6859375
overall,all,cheap_wrong_strong_correct,288,0.09
overall,all,cheap_correct_strong_wrong,94,0.029375
overall,all,cheap_wrong_strong_wrong,623,0.1946875
task_family,text,cheap_correct_strong_correct,579,0.5411215
task_family,text,cheap_wrong_strong_correct,164,0.15327103
task_family,text,cheap_correct_strong_wrong,40,0.03738318
task_family,text,cheap_wrong_strong_wrong,287,0.2682243
task_family,tool,cheap_correct_strong_correct,834,0.78679245
task_family,tool,cheap_wrong_strong_correct,23,0.02169811
task_family,tool,cheap_correct_strong_wrong,16,0.01509434
task_family,tool,cheap_wrong_strong_wrong,187,0.17641509
task_family,vision,cheap_correct_strong_correct,782,0.73084112
task_family,vision,cheap_wrong_strong_correct,101,0.09439252
task_family,vision,cheap_correct_strong_wrong,38,0.03551402
task_family,vision,cheap_wrong_strong_wrong,149,0.13925234
dataset,bbh,cheap_correct_strong_correct,172,0.52121212
dataset,bbh,cheap_wrong_strong_correct,36,0.10909091
dataset,bbh,cheap_correct_strong_wrong,22,0.06666667
dataset,bbh,cheap_wrong_strong_wrong,100,0.3030303
dataset,bfcl_multiple,cheap_correct_strong_correct,448,0.82962963
dataset,bfcl_multiple,cheap_wrong_strong_correct,7,0.01296296
dataset,bfcl_multiple,cheap_correct_strong_wrong,8,0.01481481
dataset,bfcl_multiple,cheap_wrong_strong_wrong,77,0.14259259
dataset,bfcl_simple,cheap_correct_strong_correct,386,0.74230769
dataset,bfcl_simple,cheap_wrong_strong_correct,16,0.03076923
dataset,bfcl_simple,cheap_correct_strong_wrong,8,0.01538462
dataset,bfcl_simple,cheap_wrong_strong_wrong,110,0.21153846
dataset,chartqa,cheap_correct_strong_correct,173,0.80465116
dataset,chartqa,cheap_wrong_strong_correct,17,0.07906977
dataset,chartqa,cheap_correct_strong_wrong,11,0.05116279
dataset,chartqa,cheap_wrong_strong_wrong,14,0.06511628
dataset,commonsenseqa,cheap_correct_strong_correct,256,0.81269841
dataset,commonsenseqa,cheap_wrong_strong_correct,31,0.0984127
dataset,commonsenseqa,cheap_correct_strong_wrong,2,0.00634921
dataset,commonsenseqa,cheap_wrong_strong_wrong,26,0.08253968
dataset,gsm8k,cheap_correct_strong_correct,151,0.35529412
dataset,gsm8k,cheap_wrong_strong_correct,97,0.22823529
dataset,gsm8k,cheap_correct_strong_wrong,16,0.03764706
dataset,gsm8k,cheap_wrong_strong_wrong,161,0.37882353
dataset,mmmu,cheap_correct_strong_correct,121,0.53777778
dataset,mmmu,cheap_wrong_strong_correct,38,0.16888889
dataset,mmmu,cheap_correct_strong_wrong,16,0.07111111
dataset,mmmu,cheap_wrong_strong_wrong,50,0.22222222
dataset,ocr_vqa,cheap_correct_strong_correct,113,0.5255814
dataset,ocr_vqa,cheap_wrong_strong_correct,23,0.10697674
dataset,ocr_vqa,cheap_correct_strong_wrong,4,0.01860465
dataset,ocr_vqa,cheap_wrong_strong_wrong,75,0.34883721
dataset,scienceqa,cheap_correct_strong_correct,375,0.90361446
dataset,scienceqa,cheap_wrong_strong_correct,23,0.05542169
dataset,scienceqa,cheap_correct_strong_wrong,7,0.01686747
dataset,scienceqa,cheap_wrong_strong_wrong,10,0.02409639
