strategy,display_name,slice_type,slice_value,total,accuracy,total_cost,avg_cost,total_latency_ms,avg_latency_ms,strong_usage_rate,total_strong_calls,total_cheap_calls,prompt_tokens,completion_tokens,accuracy_ci_low,accuracy_ci_high,accuracy_gap_vs_always_strong,cost_reduction_vs_always_strong,latency_reduction_vs_always_strong,random_accuracy_std
always_cheap,Always Cheap,all,all,800,0.6825,0.2334852,0.0002918565,578031.7,722.54,0.0,0,800,387121,24574,0.65,0.715,-0.045,0.63486011,0.45189456,
always_strong,Always Strong,all,all,800,0.7275,0.6394404,0.0007993005,1054599.83,1318.25,1.0,800,0,387121,24291,0.69625,0.75875,0.0,0.0,0.0,
task_aware,Frozen Task-Aware,all,all,800,0.72125,0.55031,0.0006878875,906865.85,1133.58,0.69875,559,241,387121,24275,0.69,0.7525,-0.00625,0.13938813,0.14008724,
learned_combined,Learned Combined,all,all,800,0.72,0.6260732,0.0007825915,1032036.46,1290.05,0.95875,767,33,387121,24304,0.68875,0.75125,-0.0075,0.02090453,0.021392,
reflection,Reflection,all,all,800,0.72,0.5380656,0.000672582,1400730.55,1750.91,0.67375,539,800,566322,37010,0.688719,0.750031,-0.0075,0.15853675,-0.32820785,
random_learned_rate,Random@Learned Rate,all,all,800,0.7252,,0.0007784316,,1293.787,0.95875,767.0,33.0,,,0.72059375,0.73,-0.0023,0.02610895,0.01855718,0.002529328
oracle_learned_rate,Oracle@Learned Rate,all,all,800,0.7625,0.6285196,0.0007856495,1037039.33,1296.3,0.95875,767,33,387121,24296,0.73375,0.79125,0.035,0.01707868,0.01665086,
random_reflection_rate,Random@Reflection Rate,all,all,800,0.7069375,,0.0008922379,,1832.274,0.67375,539.0,800.0,,,0.69678125,0.715,-0.0205625,-0.11627342,-0.38992907,0.0044664548
oracle_reflection_rate,Oracle@Reflection Rate,all,all,800,0.73625,0.7788228,0.0009735285,1472954.89,1841.19,0.67375,539,800,713109,45984,0.705,0.76625,0.00875,-0.21797559,-0.39669258,
global_oracle,Global Oracle,all,all,800,0.7625,0.2564292,0.0003205365,614148.48,767.69,0.08,64,736,387121,24545,0.7325,0.79125,0.035,0.59897873,0.4176446,
