strategy,display_name,slice_type,slice_value,runs,total,mean_accuracy,std_accuracy,accuracy_ci_low,accuracy_ci_high,mean_avg_cost,std_avg_cost,avg_cost_ci_low,avg_cost_ci_high,mean_avg_latency_ms,std_avg_latency_ms,avg_latency_ms_ci_low,avg_latency_ms_ci_high,mean_strong_usage_rate,std_strong_usage_rate,strong_usage_rate_ci_low,strong_usage_rate_ci_high,mean_total_strong_calls,mean_total_cheap_calls
random_learned_rate,Random@Learned Rate,all,all,100,800,0.7252,0.002529328,0.72059375,0.73,0.0007784316,3.1414e-06,0.0007718426,0.0007831576,1293.787,2.3993417847,1289.106,1298.377,0.95875,0.0,0.95875,0.95875,767.0,33.0
random_learned_rate,Random@Learned Rate,dataset,bbh,100,90,0.4864444458,0.0089690818,0.46666667,0.5,0.0003567332,4.0844e-06,0.0003484536,0.0003640757,1148.3583,12.6336461131,1124.2165,1169.7,0.9580000012,0.0167464776,0.92222222,0.98888889,86.22,3.78
random_learned_rate,Random@Learned Rate,dataset,bfcl_multiple,100,140,0.8272142866,0.0029786668,0.82142857,0.82857143,0.0018460763,2.06359e-05,0.0018002559,0.0018793086,1542.616,11.6301097157,1518.16675,1561.3265,0.9588571426,0.0164167654,0.9248214285,0.98571429,134.24,5.76
random_learned_rate,Random@Learned Rate,dataset,bfcl_simple,100,120,0.8482500006,0.0046090174,0.84166667,0.85833333,0.0008829728,9.8784e-06,0.0008619347,0.0008972812,1479.3013,12.5095337767,1447.64175,1500.0425,0.9609166662,0.0163594602,0.9245833335,0.98333333,115.31,4.69
random_learned_rate,Random@Learned Rate,dataset,chartqa,100,55,0.8194545472,0.0097081378,0.8,0.83636364,0.0007701287,1.37389e-05,0.0007407073,0.0007921527,1276.8684,19.6816300504,1239.61325,1298.39475,0.9578181819,0.0263328958,0.8995454545,1.0,52.68,2.32
random_learned_rate,Random@Learned Rate,dataset,commonsenseqa,100,75,0.8789333336,0.0055553764,0.86666667,0.89333333,0.0002788031,3.9848e-06,0.0002721227,0.000286656,1115.9536,15.5789972412,1086.93175,1145.6,0.9559999997,0.0222710574,0.92,1.0,71.7,3.3
random_learned_rate,Random@Learned Rate,dataset,gsm8k,100,105,0.4603809554,0.0119119984,0.43809524,0.48571429,0.0003169106,3.455e-06,0.0003102737,0.0003237771,1144.9172,11.8917532837,1119.18,1166.48475,0.9569523788,0.0168482632,0.92380952,0.99047619,100.48,4.52
random_learned_rate,Random@Learned Rate,dataset,mmmu,100,65,0.4898461534,0.0108174736,0.4688461545,0.50769231,0.0008152523,1.75612e-05,0.0007759868,0.0008395024,1354.9124,18.5835740438,1312.50975,1383.292,0.9559999986,0.0221901405,0.90769231,0.9926923055,62.14,2.86
random_learned_rate,Random@Learned Rate,dataset,ocr_vqa,100,55,0.6341818216,0.0059083922,0.61818182,0.63636364,0.0004922778,8.4915e-06,0.0004725033,0.0005043273,1213.4591,14.3073530113,1182.045,1231.99,0.9621818179,0.0265579037,0.8995454545,1.0,52.92,2.08
random_learned_rate,Random@Learned Rate,dataset,scienceqa,100,95,0.9761052633,0.0057375674,0.96842105,0.98947368,0.0005223394,7.4939e-06,0.0005076166,0.0005359326,1149.9506,9.8057079112,1129.984,1164.55,0.9611578948,0.0205030902,0.91578947,1.0,91.31,3.69
random_learned_rate,Random@Learned Rate,difficulty_group,hard,100,200,0.5234,0.0054717456,0.512375,0.535,0.0009956027,1.00603e-05,0.0009765607,0.001013641,1365.015,7.397704982,1351.73175,1378.193,0.95995,0.0106886622,0.93475,0.977625,191.99,8.01
random_learned_rate,Random@Learned Rate,difficulty_group,standard,100,600,0.7924666666,0.002733333,0.78666667,0.7975416665,0.0007060412,3.6134e-06,0.0006985323,0.0007123308,1270.0449,3.6153703807,1263.25375,1277.5215,0.95835,0.0035628871,0.9524583335,0.9667499982,575.01,24.99
random_learned_rate,Random@Learned Rate,task_family,text,100,270,0.5853333342,0.0056878083,0.57407407,0.59259259,0.0003195994,2.0346e-06,0.0003160255,0.0003235975,1138.019,7.157119183,1123.73225,1152.12925,0.9570370374,0.0098409853,0.94074074,0.9760185177,258.4,11.6
random_learned_rate,Random@Learned Rate,task_family,tool,100,260,0.8369230759,0.0024925945,0.83076923,0.84230769,0.001401567,1.10735e-05,0.0013770607,0.0014201645,1513.3939,7.3083843488,1499.92375,1527.1425,0.9598076925,0.0104254893,0.9402884612,0.98076923,249.55,10.45
random_learned_rate,Random@Learned Rate,task_family,vision,100,270,0.7574814829,0.0037581181,0.75185185,0.7649074077,0.0006372074,4.993e-06,0.000626464,0.0006450237,1238.0834,7.0339565282,1221.638,1247.882,0.9594444441,0.0096491965,0.94074074,0.97407407,259.05,10.95
random_reflection_rate,Random@Reflection Rate,all,all,100,800,0.7069375,0.0044664548,0.69678125,0.715,0.0008922379,1.21755e-05,0.0008682308,0.0009148052,1832.274,13.9818840647,1808.56825,1859.08875,0.67375,0.0,0.67375,0.67375,539.0,800.0
random_reflection_rate,Random@Reflection Rate,dataset,bbh,100,90,0.4648888905,0.0167567945,0.4274999972,0.48888889,0.000429608,2.2171e-05,0.000394095,0.0004784957,1445.5511,76.1595797244,1305.03925,1583.222,0.6741111107,0.0507974679,0.5941666673,0.77777778,60.67,90.0
