strategy,display_name,slice_type,slice_value,total,accuracy,total_cost,avg_cost,total_latency_ms,avg_latency_ms,strong_usage_rate,total_strong_calls,total_cheap_calls,prompt_tokens,completion_tokens,accuracy_ci_low,accuracy_ci_high,random_accuracy_std
always_cheap,Always Cheap,dataset,bbh,90,0.43333333,0.0121716,0.00013524,47938.8,532.65,0.0,0,90,18181,1531,0.333333,0.533333,
always_cheap,Always Cheap,dataset,bfcl_multiple,140,0.8,0.0960356,0.0006859686,127040.83,907.43,0.0,0,140,172489,8450,0.728571,0.864286,
always_cheap,Always Cheap,dataset,bfcl_simple,120,0.80833333,0.041458,0.0003454833,96937.69,807.81,0.0,0,120,52269,6422,0.733333,0.875,
always_cheap,Always Cheap,dataset,chartqa,55,0.85454545,0.0153076,0.00027832,43669.2,793.99,0.0,0,55,29509,1095,0.763636,0.945455,
always_cheap,Always Cheap,dataset,commonsenseqa,75,0.86666667,0.0081184,0.0001082453,36047.66,480.64,0.0,0,75,10440,1232,0.786667,0.933667,
always_cheap,Always Cheap,dataset,gsm8k,105,0.33333333,0.012842,0.0001223048,53734.97,511.76,0.0,0,105,17505,1825,0.238095,0.428571,
always_cheap,Always Cheap,dataset,mmmu,65,0.46153846,0.0191084,0.0002939754,59104.48,909.3,0.0,0,65,38531,1155,0.338462,0.584615,
always_cheap,Always Cheap,dataset,ocr_vqa,55,0.6,0.0101484,0.0001845164,40976.69,745.03,0.0,0,55,15531,1230,0.472727,0.727273,
always_cheap,Always Cheap,dataset,scienceqa,95,0.92631579,0.0182952,0.0001925811,72581.38,764.01,0.0,0,95,32666,1634,0.873684,0.968421,
always_strong,Always Strong,dataset,bbh,90,0.48888889,0.0329628,0.0003662533,105778.36,1175.32,1.0,90,0,18181,1548,0.388889,0.588889,
always_strong,Always Strong,dataset,bfcl_multiple,140,0.82857143,0.2652924,0.0018949457,219767.94,1569.77,1.0,140,0,172489,8098,0.764286,0.885714,
always_strong,Always Strong,dataset,bfcl_simple,120,0.85,0.1085868,0.00090489,180829.23,1506.91,1.0,120,0,52269,6370,0.783333,0.908333,
always_strong,Always Strong,dataset,chartqa,55,0.81818182,0.0435684,0.0007921527,71360.61,1297.47,1.0,55,0,29509,1133,0.709091,0.909091,
always_strong,Always Strong,dataset,commonsenseqa,75,0.88,0.0214992,0.000286656,85919.67,1145.6,1.0,75,0,10440,1246,0.8,0.946667,
always_strong,Always Strong,dataset,gsm8k,105,0.46666667,0.0341964,0.00032568,123245.42,1173.77,1.0,105,0,17505,1832,0.371429,0.561905,
always_strong,Always Strong,dataset,mmmu,65,0.49230769,0.0546828,0.0008412738,89307.08,1373.96,1.0,65,0,38531,1173,0.369231,0.615385,
always_strong,Always Strong,dataset,ocr_vqa,55,0.63636364,0.027738,0.0005043273,67759.56,1231.99,1.0,55,0,15531,1264,0.509091,0.763636,
always_strong,Always Strong,dataset,scienceqa,95,0.97894737,0.0509136,0.0005359326,110631.96,1164.55,1.0,95,0,32666,1627,0.947368,1.0,
global_oracle,Global Oracle,dataset,bbh,90,0.54444444,0.014146,0.0001571778,54065.88,600.73,0.11111111,10,80,18181,1512,0.444444,0.644444,
global_oracle,Global Oracle,dataset,bfcl_multiple,140,0.82857143,0.1010076,0.0007214829,130024.33,928.75,0.02857143,4,136,172489,8432,0.764286,0.885714,
global_oracle,Global Oracle,dataset,bfcl_simple,120,0.86666667,0.0451604,0.0003763367,101689.03,847.41,0.05833333,7,113,52269,6401,0.8,0.925,
global_oracle,Global Oracle,dataset,chartqa,55,0.89090909,0.0164124,0.0002984073,44408.32,807.42,0.03636364,2,53,29509,1097,0.8,0.963636,
global_oracle,Global Oracle,dataset,commonsenseqa,75,0.90666667,0.0086688,0.000115584,37314.92,497.53,0.04,3,72,10440,1235,0.84,0.973333,
global_oracle,Global Oracle,dataset,gsm8k,105,0.55238095,0.0173628,0.00016536,69380.88,660.77,0.21904762,23,82,17505,1822,0.457143,0.647619,
global_oracle,Global Oracle,dataset,mmmu,65,0.56923077,0.0224116,0.0003447938,61541.43,946.79,0.10769231,7,58,38531,1161,0.446154,0.692308,
global_oracle,Global Oracle,dataset,ocr_vqa,55,0.63636364,0.0109492,0.0001990764,42404.06,770.98,0.03636364,2,53,15531,1253,0.509091,0.763636,
global_oracle,Global Oracle,dataset,scienceqa,95,0.98947368,0.0203104,0.0002137937,73319.63,771.79,0.06315789,6,89,32666,1632,0.968421,1.0,
learned_combined,Learned Combined,dataset,bbh,90,0.48888889,0.0320596,0.0003562178,104235.69,1158.17,0.96666667,87,3,18181,1548,0.388889,0.588889,
learned_combined,Learned Combined,dataset,bfcl_multiple,140,0.82142857,0.2619196,0.0018708543,217873.62,1556.24,0.97857143,137,3,172489,8112,0.757143,0.885714,
learned_combined,Learned Combined,dataset,bfcl_simple,120,0.84166667,0.1050172,0.0008751433,176215.23,1468.46,0.94166667,113,7,52269,6370,0.775,0.9,
learned_combined,Learned Combined,dataset,chartqa,55,0.81818182,0.0420236,0.0007640655,68948.5,1253.61,0.94545455,52,3,29509,1133,0.709091,0.909091,
learned_combined,Learned Combined,dataset,commonsenseqa,75,0.88,0.0207624,0.000276832,82814.24,1104.19,0.94666667,71,4,10440,1244,0.8,0.946667,
learned_combined,Learned Combined,dataset,gsm8k,105,0.42857143,0.0323964,0.0003085371,115955.32,1104.34,0.91428571,96,9,17505,1830,0.333333,0.52381,
learned_combined,Learned Combined,dataset,mmmu,65,0.49230769,0.0534916,0.0008229477,87912.69,1352.5,0.95384615,62,3,38531,1176,0.369231,0.615385,
learned_combined,Learned Combined,dataset,ocr_vqa,55,0.63636364,0.027738,0.0005043273,67759.56,1231.99,1.0,55,0,15531,1264,0.509091,0.763636,
learned_combined,Learned Combined,dataset,scienceqa,95,0.97894737,0.0506648,0.0005333137,110321.61,1161.28,0.98947368,94,1,32666,1627,0.947368,1.0,
learned_structured_only,Learned Structured-only,dataset,bbh,90,0.48888889,0.0329628,0.0003662533,105778.36,1175.32,1.0,90,0,18181,1548,0.388889,0.588889,
learned_structured_only,Learned Structured-only,dataset,bfcl_multiple,140,0.80714286,0.161562,0.0011540143,164276.12,1173.4,0.34285714,48,92,172489,8419,0.742857,0.871429,
learned_structured_only,Learned Structured-only,dataset,bfcl_simple,120,0.825,0.0755156,0.0006292967,136438.07,1136.98,0.48333333,58,62,52269,6409,0.75,0.891667,
learned_structured_only,Learned Structured-only,dataset,chartqa,55,0.81818182,0.0435684,0.0007921527,71360.61,1297.47,1.0,55,0,29509,1133,0.709091,0.909091,
learned_structured_only,Learned Structured-only,dataset,commonsenseqa,75,0.88,0.0214992,0.000286656,85919.67,1145.6,1.0,75,0,10440,1246,0.8,0.946667,
learned_structured_only,Learned Structured-only,dataset,gsm8k,105,0.46666667,0.0341964,0.00032568,123245.42,1173.77,1.0,105,0,17505,1832,0.371429,0.561905,
learned_structured_only,Learned Structured-only,dataset,mmmu,65,0.49230769,0.0546828,0.0008412738,89307.08,1373.96,1.0,65,0,38531,1173,0.369231,0.615385,
learned_structured_only,Learned Structured-only,dataset,ocr_vqa,55,0.63636364,0.027738,0.0005043273,67759.56,1231.99,1.0,55,0,15531,1264,0.509091,0.763636,
learned_structured_only,Learned Structured-only,dataset,scienceqa,95,0.95789474,0.0498,0.0005242105,109781.82,1155.6,0.96842105,92,3,32666,1628,0.915789,0.989474,
learned_text_only,Learned Text-only,dataset,bbh,90,0.48888889,0.0317588,0.0003528756,103283.87,1147.6,0.95555556,86,4,18181,1548,0.388889,0.588889,
learned_text_only,Learned Text-only,dataset,bfcl_multiple,140,0.82142857,0.2600788,0.0018577057,217388.28,1552.77,0.97142857,136,4,172489,8143,0.757143,0.87875,
learned_text_only,Learned Text-only,dataset,bfcl_simple,120,0.84166667,0.1050172,0.0008751433,176215.23,1468.46,0.94166667,113,7,52269,6370,0.775,0.9,
learned_text_only,Learned Text-only,dataset,chartqa,55,0.81818182,0.0415188,0.0007548873,68888.55,1252.52,0.92727273,51,4,29509,1133,0.709091,0.909091,
learned_text_only,Learned Text-only,dataset,commonsenseqa,75,0.88,0.0207624,0.000276832,82814.24,1104.19,0.94666667,71,4,10440,1244,0.8,0.946667,
learned_text_only,Learned Text-only,dataset,gsm8k,105,0.42857143,0.0318092,0.0003029448,113825.17,1084.05,0.88571429,93,12,17505,1830,0.333333,0.52381,
learned_text_only,Learned Text-only,dataset,mmmu,65,0.49230769,0.0534916,0.0008229477,87912.69,1352.5,0.95384615,62,3,38531,1176,0.369231,0.615385,
learned_text_only,Learned Text-only,dataset,ocr_vqa,55,0.63636364,0.027738,0.0005043273,67759.56,1231.99,1.0,55,0,15531,1264,0.509091,0.763636,
learned_text_only,Learned Text-only,dataset,scienceqa,95,0.97894737,0.0506648,0.0005333137,110321.61,1161.28,0.98947368,94,1,32666,1627,0.947368,1.0,
oracle_learned_rate,Oracle@Learned Rate,dataset,bbh,90,0.54444444,0.03165,0.0003516667,103202.77,1146.7,0.94444444,85,5,18181,1548,0.444444,0.644444,
oracle_learned_rate,Oracle@Learned Rate,dataset,bfcl_multiple,140,0.82857143,0.2652924,0.0018949457,219767.94,1569.77,1.0,140,0,172489,8098,0.764286,0.892857,
oracle_learned_rate,Oracle@Learned Rate,dataset,bfcl_simple,120,0.86666667,0.1072236,0.00089353,178555.46,1487.96,0.98333333,118,2,52269,6374,0.8,0.925,
oracle_learned_rate,Oracle@Learned Rate,dataset,chartqa,55,0.89090909,0.0413988,0.0007527055,70219.19,1276.71,0.92727273,51,4,29509,1136,0.8,0.963636,
oracle_learned_rate,Oracle@Learned Rate,dataset,commonsenseqa,75,0.90666667,0.0211448,0.0002819307,84778.26,1130.38,0.97333333,73,2,10440,1246,0.84,0.96,
oracle_learned_rate,Oracle@Learned Rate,dataset,gsm8k,105,0.55238095,0.0322876,0.000307501,117448.32,1118.56,0.91428571,96,9,17505,1825,0.457143,0.647619,
oracle_learned_rate,Oracle@Learned Rate,dataset,mmmu,65,0.56923077,0.0525396,0.0008083015,87047.46,1339.19,0.92307692,60,5,38531,1176,0.446154,0.692308,
oracle_learned_rate,Oracle@Learned Rate,dataset,ocr_vqa,55,0.63636364,0.027738,0.0005043273,67759.56,1231.99,1.0,55,0,15531,1264,0.509091,0.763636,
oracle_learned_rate,Oracle@Learned Rate,dataset,scienceqa,95,0.98947368,0.0492448,0.0005183663,108260.37,1139.58,0.93684211,89,6,32666,1629,0.968421,1.0,
oracle_reflection_rate,Oracle@Reflection Rate,dataset,bbh,90,0.51111111,0.0502272,0.00055808,166176.36,1846.4,0.96666667,87,90,38428,3442,0.411111,0.611111,
oracle_reflection_rate,Oracle@Reflection Rate,dataset,bfcl_multiple,140,0.8,0.3805112,0.0027179371,378333.0,2702.38,1.0,140,140,357592,17110,0.735714,0.864286,
oracle_reflection_rate,Oracle@Reflection Rate,dataset,bfcl_simple,120,0.80833333,0.1615456,0.0013462133,333955.71,2782.96,0.99166667,119,120,114290,12764,0.733333,0.875,
oracle_reflection_rate,Oracle@Reflection Rate,dataset,chartqa,55,0.89090909,0.0611164,0.0011112073,133241.53,2422.57,0.94545455,52,55,59037,2536,0.8,0.963636,
oracle_reflection_rate,Oracle@Reflection Rate,dataset,commonsenseqa,75,0.88,0.0339784,0.0004530453,142527.23,1900.36,0.97333333,73,75,22792,2765,0.8,0.946667,
oracle_reflection_rate,Oracle@Reflection Rate,dataset,gsm8k,105,0.52380952,0.0349628,0.000332979,128228.22,1221.22,0.52380952,55,105,28517,3062,0.428571,0.619048,
oracle_reflection_rate,Oracle@Reflection Rate,dataset,mmmu,65,0.56923077,0.0244508,0.0003761662,67898.61,1044.59,0.10769231,7,65,42059,1309,0.446154,0.692308,
oracle_reflection_rate,Oracle@Reflection Rate,dataset,ocr_vqa,55,0.6,0.0101484,0.0001845164,40976.69,745.03,0.0,0,55,15531,1230,0.472727,0.727273,
oracle_reflection_rate,Oracle@Reflection Rate,dataset,scienceqa,95,0.98947368,0.021882,0.0002303368,81617.54,859.13,0.06315789,6,95,34863,1766,0.968421,1.0,
reflection,Reflection,dataset,bbh,90,0.47777778,0.0515484,0.00057276,169749.77,1886.11,1.0,90,90,39151,3505,0.377778,0.577778,
reflection,Reflection,dataset,bfcl_multiple,140,0.8,0.0960356,0.0006859686,127040.83,907.43,0.0,0,140,172489,8450,0.728571,0.864286,
reflection,Reflection,dataset,bfcl_simple,120,0.80833333,0.041458,0.0003454833,96937.69,807.81,0.0,0,120,52269,6422,0.733333,0.875,
reflection,Reflection,dataset,chartqa,55,0.83636364,0.0638344,0.0011606255,139344.79,2533.54,1.0,55,55,60858,2610,0.727273,0.927273,
reflection,Reflection,dataset,commonsenseqa,75,0.85333333,0.034342,0.0004578933,144093.48,1921.25,0.98666667,74,75,22969,2786,0.76,0.933333,
reflection,Reflection,dataset,gsm8k,105,0.4952381,0.05483,0.0005221905,203743.04,1940.41,1.0,105,105,38407,4173,0.4,0.590476,
reflection,Reflection,dataset,mmmu,65,0.56923077,0.0780824,0.0012012677,149269.28,2296.45,1.0,65,65,79012,2599,0.446154,0.692308,
reflection,Reflection,dataset,ocr_vqa,55,0.6,0.0419724,0.0007631345,130300.77,2369.1,1.0,55,55,32985,2741,0.472727,0.727273,
reflection,Reflection,dataset,scienceqa,95,0.96842105,0.0759624,0.0007996042,240250.9,2528.96,1.0,95,95,68182,3724,0.926316,1.0,
task_aware,Frozen Task-Aware,dataset,bbh,90,0.47777778,0.02951,0.0003278889,92458.32,1027.31,0.76666667,69,21,18181,1548,0.377778,0.577778,
task_aware,Frozen Task-Aware,dataset,bfcl_multiple,140,0.82857143,0.2647124,0.0018908029,218802.25,1562.87,0.99285714,139,1,172489,8098,0.764286,0.892857,
task_aware,Frozen Task-Aware,dataset,bfcl_simple,120,0.81666667,0.0757684,0.0006314033,137677.85,1147.32,0.46666667,56,64,52269,6412,0.741667,0.883333,
task_aware,Frozen Task-Aware,dataset,chartqa,55,0.83636364,0.0340996,0.0006199927,62223.04,1131.33,0.65454545,36,19,29509,1103,0.727273,0.927273,
task_aware,Frozen Task-Aware,dataset,commonsenseqa,75,0.86666667,0.0088656,0.000118208,38149.21,508.66,0.05333333,4,71,10440,1234,0.786667,0.933333,
task_aware,Frozen Task-Aware,dataset,gsm8k,105,0.45714286,0.033066,0.0003149143,119123.7,1134.51,0.94285714,99,6,17505,1832,0.361905,0.552381,
