strategy,display_name,slice_type,slice_value,total,accuracy,total_cost,avg_cost,total_latency_ms,avg_latency_ms,strong_usage_rate,total_strong_calls,total_cheap_calls,prompt_tokens,completion_tokens,accuracy_ci_low,accuracy_ci_high,random_accuracy_std
always_cheap,Always Cheap,task_family,text,270,0.51481481,0.033132,0.0001227111,137721.43,510.08,0.0,0,270,46126,4588,0.455556,0.574167,
always_cheap,Always Cheap,task_family,tool,260,0.80384615,0.1374936,0.0005288215,223978.52,861.46,0.0,0,260,224758,14872,0.753846,0.85,
always_cheap,Always Cheap,task_family,vision,270,0.73333333,0.0628596,0.0002328133,216331.75,801.23,0.0,0,270,116237,5114,0.681481,0.785185,
always_strong,Always Strong,task_family,text,270,0.58888889,0.0886584,0.0003283644,314943.45,1166.46,1.0,270,0,46126,4626,0.52963,0.644444,
always_strong,Always Strong,task_family,tool,260,0.83846154,0.3738792,0.0014379969,400597.17,1540.76,1.0,260,0,224758,14468,0.792308,0.880769,
always_strong,Always Strong,task_family,vision,270,0.75925926,0.1769028,0.0006551956,339059.21,1255.77,1.0,270,0,116237,5197,0.707407,0.807407,
global_oracle,Global Oracle,task_family,text,270,0.64814815,0.0401776,0.0001488059,160761.68,595.41,0.13333333,36,234,46126,4569,0.588889,0.703704,
global_oracle,Global Oracle,task_family,tool,260,0.84615385,0.146168,0.0005621846,231713.36,891.21,0.04230769,11,249,224758,14833,0.8,0.888462,
global_oracle,Global Oracle,task_family,vision,270,0.7962963,0.0700836,0.0002595689,221673.44,821.01,0.06296296,17,253,116237,5143,0.744444,0.844444,
learned_combined,Learned Combined,task_family,text,270,0.57407407,0.0852184,0.0003156237,303005.25,1122.24,0.94074074,254,16,46126,4622,0.514815,0.633333,
learned_combined,Learned Combined,task_family,tool,260,0.83076923,0.3669368,0.0014112954,394088.85,1515.73,0.96153846,250,10,224758,14482,0.784615,0.876923,
learned_combined,Learned Combined,task_family,vision,270,0.75925926,0.173918,0.0006441407,334942.36,1240.53,0.97407407,263,7,116237,5200,0.707407,0.807407,
learned_structured_only,Learned Structured-only,task_family,text,270,0.58888889,0.0886584,0.0003283644,314943.45,1166.46,1.0,270,0,46126,4626,0.52963,0.648148,
learned_structured_only,Learned Structured-only,task_family,tool,260,0.81538462,0.2370776,0.0009118369,300714.19,1156.59,0.40769231,106,154,224758,14828,0.765385,0.861538,
learned_structured_only,Learned Structured-only,task_family,vision,270,0.75185185,0.1757892,0.0006510711,338209.07,1252.63,0.98888889,267,3,116237,5198,0.7,0.803704,
learned_text_only,Learned Text-only,task_family,text,270,0.57407407,0.0843304,0.0003123348,299923.28,1110.83,0.92592593,250,20,46126,4622,0.514815,0.633426,
learned_text_only,Learned Text-only,task_family,tool,260,0.83076923,0.365096,0.0014042154,393603.51,1513.86,0.95769231,249,11,224758,14513,0.784615,0.876923,
learned_text_only,Learned Text-only,task_family,vision,270,0.75925926,0.1734132,0.0006422711,334882.41,1240.31,0.97037037,262,8,116237,5200,0.707315,0.807407,
oracle_learned_rate,Oracle@Learned Rate,task_family,text,270,0.64814815,0.0850824,0.00031512,305429.35,1131.22,0.94074074,254,16,46126,4619,0.592593,0.703704,
oracle_learned_rate,Oracle@Learned Rate,task_family,tool,260,0.84615385,0.372516,0.0014327538,398323.4,1532.01,0.99230769,258,2,224758,14472,0.8,0.888462,
oracle_learned_rate,Oracle@Learned Rate,task_family,vision,270,0.7962963,0.1709212,0.0006330415,333286.58,1234.39,0.94444444,255,15,116237,5205,0.748148,0.844444,
oracle_reflection_rate,Oracle@Reflection Rate,task_family,text,270,0.61851852,0.1191684,0.0004413644,436931.81,1618.27,0.7962963,215,270,89737,9269,0.562963,0.677778,
oracle_reflection_rate,Oracle@Reflection Rate,task_family,tool,260,0.80384615,0.5420568,0.0020848338,712288.71,2739.57,0.99615385,259,260,471882,29874,0.753846,0.85,
oracle_reflection_rate,Oracle@Reflection Rate,task_family,vision,270,0.78888889,0.1175976,0.0004355467,323734.37,1199.02,0.24074074,65,270,151490,6841,0.740741,0.837037,
reflection,Reflection,task_family,text,270,0.58888889,0.1407204,0.0005211867,517586.29,1916.99,0.9962963,269,270,100527,10464,0.525926,0.648148,
reflection,Reflection,task_family,tool,260,0.80384615,0.1374936,0.0005288215,223978.52,861.46,0.0,0,260,224758,14872,0.753846,0.85,
reflection,Reflection,task_family,vision,270,0.77037037,0.2598516,0.0009624133,659165.74,2441.35,1.0,270,270,241037,11674,0.718519,0.818519,
task_aware,Frozen Task-Aware,task_family,text,270,0.57777778,0.0714416,0.0002645985,249731.23,924.93,0.63703704,172,98,46126,4614,0.518519,0.637037,
task_aware,Frozen Task-Aware,task_family,tool,260,0.82307692,0.3404808,0.0013095415,356480.1,1371.08,0.75,195,65,224758,14510,0.776923,0.869231,
task_aware,Frozen Task-Aware,task_family,vision,270,0.76666667,0.1383876,0.0005125467,300654.52,1113.54,0.71111111,192,78,116237,5151,0.714815,0.818519,
random_learned_rate,Random@Learned Rate,task_family,text,270,0.5853333342,,0.0003195994,,1138.019,0.9570370374,258.4,11.6,,,0.57407407,0.59259259,0.0056878083
random_learned_rate,Random@Learned Rate,task_family,tool,260,0.8369230759,,0.001401567,,1513.3939,0.9598076925,249.55,10.45,,,0.83076923,0.84230769,0.0024925945
random_learned_rate,Random@Learned Rate,task_family,vision,270,0.7574814829,,0.0006372074,,1238.0834,0.9594444441,259.05,10.95,,,0.75185185,0.7649074077,0.0037581181
random_reflection_rate,Random@Reflection Rate,task_family,text,270,0.5643703702,,0.0003906286,,1455.9818,0.6704074077,181.01,270.0,,,0.5387962975,0.58148148,0.0101400339
random_reflection_rate,Random@Reflection Rate,task_family,tool,260,0.8010384605,,0.0015839258,,2137.5822,0.6725384622,174.86,260.0,,,0.8,0.80384615,0.0017075347
random_reflection_rate,Random@Reflection Rate,task_family,vision,270,0.7588888894,,0.0007277775,,1914.5677,0.6782592595,183.13,270.0,,,0.74444444,0.77407407,0.0075993642
